id,chord_progression,release_date,genre,chord_length
81742,<intro_1> G D G D G D G D G D G D G D G D <verse_1> G D G D G D G D G D G D G D G <chorus_1> C Amin D G C Amin D G C Amin D G C Amin D G <interlude_1> D G D G D G D <verse_2> G D G D G D G D G D G D G D G <chorus_2> C Amin D G C Amin D G C Amin D G C Amin D <interlude_2> G D G D G <bridge_1> Bmin C D G Bmin C D G Bmin C D G Bmin C G <interlude_3> D G D G D G D <verse_3> G D G D G D G D G D G D G D G <chorus_3> C Amin D G C Amin D G C Amin D G C Amin D G C Amin D G C Amin D G C Amin D G C Amin D <outro_1> G D G D G D G D,2019-05-06,electronic,177
82769,<intro_1> C G Amin7 Fadd9 C G C G C G Amin7 Fadd9 C G C G <verse_1> C G Amin7 Fadd9 C G Amin7 Fadd9 C G Amin7 Fadd9 C G C C <chorus_1> Amin7 G Fadd9 Amin7 G Fadd9 Amin7 G Fadd9 C <instrumental_1> G Amin7 Fadd9 C G C G <verse_2> C G Amin7 Fadd9 C G Amin7 Fadd9 C G Amin7 Fadd9 C G C C <chorus_2> Amin7 G Fadd9 Amin7 G Fadd9 Amin7 G Fadd9 C <instrumental_2> G Amin7 Fadd9 C G C G C G Amin7 Fadd9 C G C C <chorus_3> Amin7 G Fadd9 Amin7 G Fadd9 Amin7 G Fadd9 C Amin7 G Fadd9 Amin7 G Fadd9 Amin7 G Fadd9 C <verse_3> G Amin7 Fadd9 C G Amin7 Fadd9 C G Amin7 Fadd9 C G C C <chorus_4> Amin7 G Fadd9 Amin7 G Fadd9 Amin7 G Fadd9 C C Amin7 G Fadd9 Amin7 G Fadd9 Amin7 G Fadd9 C C Amin7 G Fadd9 Amin7 G Fadd9 Amin7 G Fadd9 C G C,2013-11-20,jazz,169
83600,<intro_1> Dmin F C Amin Bb Dmin F C Amin Gmin <verse_1> Dmin F C Amin Bb Dmin F C Amin Bb Dmin F C Amin Bb Dmin F C Amin Gmin <chorus_1> Bb F Amin Dmin Bb F C Bb C F Amin Dmin Bb F C Dmin Bb <verse_2> Dmin F C Amin Bb Dmin F C Amin Bb Dmin F C Amin Bb Dmin F C Amin Gmin <chorus_2> Bb F Amin Dmin Bb F C Bb C F Amin Dmin Bb F C Dmin Bb <bridge_1> C F Dmin Bb F C Dmin Bb F Amin Dmin Bb F C Bb C F Amin Dmin Bb F C Dmin Bb <chorus_3> F Amin Dmin Bb F C Bb C F Amin Dmin Bb F C Dmin Bb <outro_1> Dmin F C Amin Bb Dmin F C Amin Gmin,2014-09-22,electronic,142
84905,<intro_1> C D C D <verse_1> C D Bmin C D Bmin C <instrumental_1> D C D <verse_2> C D C D C <instrumental_2> D C D Amin Amin7 Dsus4 D Bmin Emin Amin D Bmin G D C G D C G D C G D C G D C D C Emin D C <instrumental_3> Emin G C Emin G C Emin G C Emin G C Emin G C Emin G C Emin G C Emin G C Emin G Emin G C Emin G C Emin G C Emin G C Amin7 D Bmin Emin D Amin Amin7 Amin D Bmin G D C G D C G D C G D C <instrumental_1> G C G C G C G C G C G C G C Bmin C G C G Cmaj7 <instrumental_4> C Cmaj7 C Cmaj7 C G Cmaj7 C G Cmaj7 C G C G C G C G C G C G C G C Ds <bridge_1> Emin G C Emin G A7 A A7 A C Emin D G C Emin Dmin G A7 Fsmin7 A C G C G B C Cmin Emin G G7 C Ds C <outro_1> G F Ds D G F Ds D G F Ds D G F D,2019-03-22,alternative,215
86028,<intro_1> Bb F Dmin Bb Dmin C <verse_1> F Dmin Bb C C F Bb Dmin Bb C F Dmin Bb C C F Bb Dmin Bb C <chorus_1> F Bb F Bb F Bb C <verse_2> F Dmin Gmin7 C C C C F Bb Dmin Bb C C C F Dmin Gmin7 C C C C F Bb Dmin Bb C <chorus_2> F Bb F Bb F Bb C <chorus_3> F Bbsus2 F Bbsus2 Bb F Dmin C F Bbsus2 F Bbsus2 Bb F Dmin C <verse_3> F Dmin Bb C C C C F Bb Dmin Bb C <chorus_4> F Bb F Bb F Bb C Bb F Dmin Bb Dmin C <chorus_5> F Bbsus2 F Bbsus2 Bb F Dmin C F Bbsus2 F Bbsus2 Bb F Dmin C F Bbsus2 F Bbsus2 Bb F Dmin C <outro_1> F Dmin Bb C F Bb Dmin Bb C Bb F Dmin Bb Dmin C F Bb F <intro_2> A E Csmin A Csmin B <verse_4> E Csmin A B B E A Csmin A B E Csmin A B B E A Csmin A B <chorus_6> E A E A E A B <verse_5> E Csmin Fsmin7 B B B B E A Csmin A B B B E Csmin Fsmin7 B B B B E A Csmin A B <chorus_7> E A E A E A B <chorus_8> E Asus2 E Asus2 A E Csmin B E Asus2 E Asus2 A E Csmin B <verse_6> E Csmin A B B B B E A Csmin A B <chorus_9> E A E A E A B A E Csmin A Csmin B <chorus_10> E Asus2 E Asus2 A E Csmin B E Asus2 E Asus2 A E Csmin B E Asus2 E Asus2 A E Csmin B <outro_2> E Csmin A B E A Csmin A B A E Csmin A Csmin B E A E,2021-09-02,pop,318
86060,<intro_1> Bb Gmin Cmin F Bb F Bb F Bb Gmin Eb Bb Bb F Bb Eb <verse_1> Cmin F Cmin F Bb Gmin Cmin Ab Eb Bb Eb Bb Cmin Eb Ab Eb Ab Bb G <chorus_1> C Amin Dmin G C G C G Amin F C F C G G C F <verse_2> Dmin G Dmin G C Amin Dmin Bb F C F C Dmin F Bb F Bb C A7 <chorus_2> D Bmin Emin A D A D A Bmin G D G D A D G D A D Bmin <outro_1> G D G A <intro_2> Fsmin Bmin E A E A E A Fsmin D A A E A D <verse_3> Bmin E Bmin E A Fsmin Bmin G D A D A Bmin D G D G A Fs <chorus_3> B Gsmin Csmin Fs B Fs B Fs Gsmin E B E B Fs Fs B E <verse_4> Csmin Fs Csmin Fs B Gsmin Csmin A E B E B Csmin E A E A B Gs7 <chorus_4> Cs Asmin Dsmin Gs Cs Gs Cs Gs Asmin Fs Cs Fs Cs Gs Cs Fs Cs Gs Cs Asmin <outro_2> Fs Cs Fs Gs <intro_3> Bb Gmin Cmin F Bb F Bb F Bb Gmin Eb Bb F Bb Eb <verse_5> Cmin F Cmin F Bb Gmin Cmin Ab Eb Bb Eb Bb Cmin Eb Ab Eb Ab Bb G <chorus_5> C Amin Dmin G C G C G Amin F C F C G C F <verse_6> Dmin G Dmin G C Amin Dmin Bb F C F C Dmin F Bb F Bb C A7 <chorus_6> D Bmin Emin A D A D A Bmin G D G D A D G D A D Bmin <outro_3> G D G A,2023-11-08,pop,300
86760,<intro_1> D Dsus2 D Dsus2 G A D Dsus4 D Dsus2 A Asus4 Dmaj7 G <verse_1> D Dsus4 D Dadd13 Dmaj7 Emin D A Asus4 Dmaj7 G D Dsus4 D Dadd13 Dmaj7 Emin D A Asus4 Dmaj7 G F F13 F F13 F Fadd9 Fadd13 <chorus_1> Emin D G D Emin <verse_2> D Dsus4 D Dadd13 Dmaj7 Emin D A Asus4 Dmaj7 G D Dsus4 D Dadd13 Dmaj7 Emin D A Asus4 Dmaj7 G F F13 F F13 F Fadd9 Fadd13 <chorus_2> Emin D Emin D G Dmaj7 Emin G Dmaj7 Emin Bmin G <interlude_1> Gsus2 G Gadd9 G Gsus2 G Gadd9 G Gsus2 G Gadd9 G Gsus2 G Gadd9 G Gsus2 G Gadd9 G Gsus2 A A <chorus_3> Bb Bbsus2 G7sus4 Gmin7 F F7sus4 Eb Ebsus2 Bb Bbsus2 G7sus4 Gmin7 F F7sus4 Eb Ebsus2 Bb Bbsus2 G7sus4 Gmin7 F F7sus4 Eb Ebsus2 <solo_1> Bb Bbsus2 G7sus4 Gmin7 F F7sus4 Eb Ebadd13 <verse_3> D Dsus4 D Dadd13 Dmaj7 Emin D A Asus4 Dmaj7 G D Dsus4 D Dadd13 Dmaj7 Emin D A Asus4 Dmaj7 G F F13 F F13 F Fadd9 Fadd13 <chorus_4> Emin D Emin D G Dmaj7 Emin G Dmaj7 Emin G F13 G Gsus2 G Gadd9 G Gsus2 G Gadd9 G Gsus2 G Gadd9 G Gsus2 A A <chorus_5> Bb Bbsus2 G7sus4 Gmin7 F F7sus4 Eb Ebsus2 Bb Bbsus2 G7sus4 Gmin7 F F7sus4 Eb Ebsus2 B Bbsus2 G7sus4 Gmin7 F F7sus4 Eb Ebsus2 <interlude_2> Bb Bbsus2 G7sus4 Gmin7 F F7sus4 Eb Ebadd13 <bridge_1> Gb Gbsus2 Ebmin Ebsus2 Db Dbsus2 B Badd13 Gb Gbsus2 Ebmin Ebsus2 Db Dbsus2 B Badd13 Eb Ebsus2 Cmin Csus2 <chorus_6> Bb Bbsus2 G7sus4 Gmin7 F F7sus4 Eb Ebsus2 <outro_1> Bb Bbsus2 G7sus4 Gmin7 F F7sus4 Eb Eb Ebadd13 Fsus4 Cmin13 Fsus4 Cmin13 Fsus4 Cmin13 Fsus4 Cmin13,1987-09-15,rock,293
87413,<intro_1> C G Amin7 G F C Dmin7 Emin7 F G C <verse_1> E7 Amin7 Amin7 F C Dmin7 G C E7 Amin7 Amin7 F C Dmin7 G C E7 Amin7 Amin7 F C Dmin7 G C E7 Amin7 Amin7 F C Dmin7 G C C7 F Fmin Emin7 E7 Amin7 G F Fmin Emin7 E7 Amin7 G Dmin7 Emin7 F G <chorus_1> Ds G7 Cmin7 Asmin7 Gs Ds Fmin As Ds G7 Cmin7 Asmin7 Gs Ds Fmin As Cmin Cminmaj7 Cmin7 Gs Gmin Fmin As Gs Gmin Fmin As Gs Gmin Fmin As Ds G7 Cmin7 As Gs Ds Fmin As <instrumental_1> Ds G7 Cmin7 As Gs Ds Fmin As Gs B7 Asmin7 A7 Gsmin7 <bridge_1> F7 Gs7 Emin7 E7 Amin7 D7 F7 Gs7 Emin7 E7 Amin7 Amin7 Dmin7 Emin7 F G <chorus_2> Ds G7 Cmin7 Asmin7 Gs Ds Fmin As Ds G7 Cmin7 Asmin7 Gs Ds Fmin As Cmin Cminmaj7 Cmin7 Gs Gmin Fmin As E Gs7 Csmin7 Bmin7 A E Fsmin7 B E Gsmin7 Csmin7 Bmin7 A E Fsmin7 B Csmin Csminmaj7 Csmin7 A Gsmin Fsmin B A Gsmin Fsmin B A Gsmin Fsmin B E Fdim Fsmin B Cdim Csmin7 A Gs Fsmin B <outro_1> E Gsmin7 Csmin7 B A Gsmin Fsmin B A Amin7 E,2016-05-25,pop_rock,210
88248,<verse_1> Amin C G Amin F C G Amin Emin C Amin G F Amin G Amin G Amin <verse_2> C G Amin F C G Amin Emin C Amin G F Amin G Amin G Amin <verse_3> C G Amin F C G Amin Emin C Amin G F Amin G Amin G Amin <verse_4> C G Amin F C G Amin Emin C Amin G F Amin G Amin G Amin <verse_5> C G Amin F C G Amin Emin C Amin G F Amin G Amin G Amin <chorus_1> C G C F C G C E7 Amin G Amin G Amin <verse_6> C G Amin F C G Amin Emin C Amin G F Amin G Amin G Amin <verse_7> C G Amin F C G Amin Emin C Amin G F Amin G Amin G Amin <verse_8> C G Amin F C G Amin Emin C Amin G F Amin G Amin G Amin <chorus_2> C G C F C G C E7 Amin G Amin G Amin <verse_9> C G Amin F C G Amin Emin C Amin G F Amin G Amin G Amin C G Amin F C G Amin Emin C Amin G F Amin G Amin G Amin C G Amin F C G Amin Emin C Amin G F Amin G Amin G Amin C G Amin F C G Amin Emin C Amin G F Amin G Amin G Amin <chorus_3> C G C F C G C E7 Amin G Amin G Amin C G Amin F C G Amin Emin C Amin G F Amin G Amin G Amin,1993,country,273
88414,<intro_1> Bb Eb Bb Eb Bb Eb F Bb Eb Bb Eb Bb Eb F <chorus_1> Bb Eb Bb Eb Bb Eb F Bb Eb Bb Eb Bb Eb F Bb Eb Bb Eb Bb Eb F Bb Eb Bb Eb Bb Eb F <verse_1> Bb Eb Bb Eb Bb Eb F Bb Eb Bb Eb Bb Eb F Bb Eb Bb Eb Bb Eb F Bb Eb Bb Eb Bb Eb F Eb F Eb F <chorus_2> Bb Eb Bb Eb Bb Eb F Bb Eb Bb Eb Bb Eb F <interlude_1> Bb Eb Bb Eb Bb Eb F <verse_2> Bb Eb Bb Eb Bb Eb F Bb Eb Bb Eb Bb Eb F Eb F Eb F <chorus_3> Bb Eb Bb Eb Bb Eb F Bb Eb Bb Eb Bb Eb F <bridge_1> Eb F Eb F <chorus_4> Bb Eb Bb Eb Bb Eb F Bb Eb Bb Eb Bb Eb F Bb Eb Bb Eb Bb Eb F Bb Eb Bb Eb Bb Eb F <outro_1> Bb Eb Bb Eb Bb Eb F Bb Eb Bb Eb Bb Eb F,2013-01-08,punk,183
88958,<intro_1> D A E D A E <verse_1> D A E D A E D A E D A E D A E Fsmin D A E D A E Fsmin D A E <chorus_1> D A E Fsmin D A E D A E Fsmin D A E D A E Fsmin D A E D A E Fsmin D A E Fsmin D A E D A E Fsmin D A E <verse_2> D A E D A E D A E D A E D A E Fsmin D A E D A E Fsmin D A E <chorus_2> D A E Fsmin D A E D A E Fsmin D A E D A E Fsmin D A E D A E Fsmin D <outro_1> A E Fsmin D A E D A E Fsmin D A E D A E Fsmin D A E D A E Fsmin D A E D A E Fsmin D A E,2019-06-14,electronic,163
89460,<intro_1> B Emin D C Emin D C Emin D C Emin D C <verse_1> Emin D C Emin D C Emin D C Emin D C Emin D C Emin D C Emin D C Emin D C <chorus_1> A B G D A B G A B G D A B G B <interlude_1> Emin D C Emin D C Emin D C Emin D C <verse_2> Emin D C Emin D C Emin D C Emin D C Emin D C Emin D C Emin D C Emin D C <chorus_2> A B G D A B G A B G D A B G B <interlude_2> Emin D C Emin D C Emin D C Emin D C Emin D C Emin D C Emin D C Emin D C <chorus_3> A B G D A B G A B G D A B G B <interlude_3> Emin D C Emin D C <verse_3> Emin D C Emin D C Emin D C Emin D C Emin D C Emin D C Emin D C Emin D C <chorus_4> A B G D A B G A B G D A B G B,2007,punk,198
90715,<verse_1> E B Csmin A E B Csmin A E B Csmin A E B Csmin A D Csmin A Gs D Csmin A Gs <chorus_1> D Bmin A D Bmin A D Bmin A Csmin D Bmin G D Amin G D Amin G D Amin G D Amin G D Amin G D E <verse_2> B Csmin A E B Csmin A E B Csmin A E B Csmin A D Csmin A Gs D Csmin A Gs <chorus_2> D Bmin A D Bmin A D Bmin A Csmin D Bmin G D Amin G D Amin G D Amin G D Amin G D Amin G <bridge_1> D Amin G D Amin G D Amin G D Amin G D Amin G <chorus_3> D Bmin A D Bmin A D Bmin A Csmin D Bmin G D Amin G D Amin G D Amin G D Amin G D Amin G D Amin G D Amin G D Amin G D Amin G D Amin G D Amin G D Amin G D,2014-01-10,rap,176
92518,<intro_1> C G F G C G F G <chorus_1> C G F G C G F G <verse_1> C G F G C G F G C G F G C G F G C G F G C G F G C G F G C G F G C G F G C G F G <chorus_2> C G F G C G F G C <instrumental_1> G F G C G F G C G F G <chorus_3> C G F G C G F G <verse_2> C G F G C G F G C G F G C G F G C G F G C G F G C G F G C G F G C G F G C G F G <chorus_4> C G F G C G F G,1970,reggae,140
93271,<intro_1> Amin Amin7 Dmin E7 Amin <verse_1> A7 Dmin B7 E7 B7 E7 Amin G7 C G7 C Dmin Amin B7 E7 Amin <chorus_1> A7 Dmin E7 Amin E B7 E7 Amin <interlude_1> Amin7 Dmin E7 Amin <verse_2> A7 Dmin B7 E7 B7 E7 Amin G7 C G7 C Dmin Amin B7 E7 Amin <chorus_2> A7 Dmin E7 Amin E B7 E7 Amin <interlude_2> Amin7 Dmin E7 Amin <verse_3> A7 Dmin B7 E7 B7 E7 Amin G7 C G7 C Dmin Amin B7 E7 Amin <chorus_3> A7 Dmin E7 Amin E B7 E7 Amin <interlude_3> Amin7 Dmin E7 Amin <verse_4> A7 Dmin B7 E7 B7 E7 Amin G7 C G7 C Dmin Amin B7 E7 Amin A7 Dmin E7 Amin E B7 E7 Amin <interlude_4> Amin7 Dmin E7 Amin <verse_5> A7 Dmin B7 E7 B7 E7 Amin G7 C G7 C Dmin Amin B7 E7 Amin <chorus_4> A7 Dmin E7 Amin E B7 E7 Amin <interlude_5> Amin7 Dmin E7 Amin <verse_6> A7 Dmin B7 E7 B7 E7 Amin G7 C G7 C Dmin Amin B7 E7 Amin <chorus_5> A7 Dmin E7 Amin E B7 E7 Amin <interlude_6> Amin7 Dmin E7 Amin <verse_7> A7 Dmin B7 E7 B7 E7 Amin G7 C G7 C Dmin Amin B7 E7 Amin <chorus_6> A7 Dmin E7 Amin E B7 E7 Amin <interlude_7> Amin7 Dmin E7 Amin <outro_1> A7 Dmin E7 Amin E B7 E7 Amin,2008-06-18,country,231
93766,<intro_1> C G7 C G7 C <verse_1> F C G7 C F C F C F C F C F G F C F C F C G C <verse_2> F C G7 C F C F C F C F C F G F C F C F C G C <verse_3> F C G7 C F C F C F C F C F G F C F C F C G C <verse_4> F C G7 C F C F C F C F C F G F C F C F C G C <verse_5> F C G7 C F C F C F C F C F G F C F C F C G C <verse_6> F C G7 C F C F C F C F C F G F C F C F C G C <verse_7> F C G7 C F C F C F C F C F G F C F C F C G C <verse_8> F C G7 C F C F C F C F C F G F C F C F C G C <verse_9> F C G7 C F C F C F C F C F G F C F C F C G C F C G7 C F C F C F C F C F G F C F C F C G C F C G7 C F C F C F C F C F G F C F C F C G C,2000-10-03,rock,257
94081,<intro_1> Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d <verse_1> Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d <instrumental_1> Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d <verse_2> Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d <instrumental_2> Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d <verse_3> Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d <instrumental_3> Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d <verse_4> Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d <instrumental_4> Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d <chorus_1> Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d <verse_5> Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d <instrumental_5> Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d <chorus_2> Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d <interlude_1> Eno3d <chorus_3> Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d <outro_1> Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d Eno3d Cno3d Eno3d Dno3d Eno3d,1994-01-01,punk,273
94192,<intro_1> E Eadd13 E Eadd13 E A Aadd9 A Aadd9 A E Eadd13 E Eadd13 E A Aadd9 A Aadd9 A <verse_1> E Eadd13 E Eadd13 E A Aadd9 A Aadd9 A E Eadd13 E Eadd13 A Aadd9 A Aadd9 E Eadd13 E Eadd13 E A Aadd9 A Aadd9 A E Eadd13 E Eadd13 E A Aadd9 A Aadd9 A <verse_2> E Eadd13 E Eadd13 E A Aadd9 A Aadd9 A E Eadd13 E Eadd13 E A Aadd9 A Aadd9 A E Eadd13 E Eadd13 E A Aadd9 A Aadd9 A E Eadd13 E Eadd13 E A Aadd9 A Aadd9 A <chorus_1> Fsmin A E Fsmin A E Fsmin A E Fsmin A E <verse_3> Eadd13 E Eadd13 E A Aadd9 A Aadd9 A E Eadd13 E Eadd13 E A Aadd9 A Aadd9 A E Eadd13 E Eadd13 E A Aadd9 A Aadd9 A E Eadd13 E Eadd13 E A Aadd9 A Aadd9 A <chorus_2> Fsmin A E Fsmin A E Fsmin A E Fsmin A E <instrumental_1> Eadd13 E Eadd13 E A Aadd9 A Aadd9 A E Eadd13 E Eadd13 E A Aadd9 A Aadd9 A E Eadd13 E Eadd13 E A Aadd9 A Aadd9 A E Eadd13 E Eadd13 E A Aadd9 A Aadd9 A <verse_4> E Eadd13 E Eadd13 E A Aadd9 A Aadd9 A E Eadd13 E Eadd13 E A Aadd9 A Aadd9 A E Eadd13 E E Eadd13 E A Aadd9 A Aadd9 A E Eadd13 E E Eadd13 E A Aadd9 A Aadd9 A E Eadd13 E E Eadd13 E A Aadd9 A Aadd9 A E Eadd13 E E Eadd13 E A Aadd9 A Aadd9 A <chorus_3> Fsmin A E Fsmin A E Fsmin A E Fsmin A E <outro_1> E A E E A E E A E E A,2007-07-10,country,297
94317,<intro_1> G Bmin A Emin G A <verse_1> G Bmin A G Bmin A G Bmin A G Bmin A G Bmin A G Bmin A G Bmin A G Bmin A G A Emin D G A Emin <chorus_1> D G Bmin A Emin D G Bmin A D <interlude_1> G Bmin A Emin G A <verse_2> G Bmin A G Bmin A G Bmin A G Bmin A G Bmin A Emin D G Bmin A Emin <bridge_1> D G A Emin D G A Emin <chorus_2> D G Bmin A Emin D G Bmin A Emin D G Bmin A Emin D G Bmin A Emin G Bmin A Emin G A G Bmin A Emin G A G Bmin A Emin D G Bmin A Emin D,2016-12-02,electronic,131
94347,<intro_1> Amin Dmin F Amin Dmin F Amin Dmin F Amin Dmin F Amin Dmin F Amin Dmin F Amin Dmin F Amin Dmin F <verse_1> Amin Dmin F Amin Dmin F Amin Dmin F Amin Dmin F Amin Dmin F Amin Dmin F Amin Dmin F Amin Dmin F <bridge_1> Amin G C F G Amin G C F G C <verse_2> Amin F G Amin F G Amin F G Amin F G <bridge_2> Amin G C F G Amin G C F Amin <verse_3> F Amin F Amin F Amin F Amin F Amin F Amin <interlude_1> C F C Dmin Amin C F Amin C F C Dmin Amin C F Amin C F C Dmin Amin C F Amin C F C Dmin Amin C F <bridge_3> Dmin G F G Dmin G Dmin G Amin C F C Dmin Amin C F Amin C F C Dmin Amin C F Amin C F C Dmin Amin C F Amin C F C Dmin Amin C F Amin C F C Dmin Amin C F Amin C F C Dmin Amin C F Amin C F C Dmin Amin C F Amin C F C Dmin Amin C F Amin C F C Dmin Amin C F <outro_1> Amin Dmin F Amin Dmin F Amin Dmin F Amin Dmin F,2007-02-06,alternative,225
94721,<intro_1> A B A B A D A A B A B A Fsmin E A B A B A D A A B A B A Fsmin E <verse_1> A D A A Fsmin E A D A A <chorus_1> D A D A Fsmin E D A D A Fsmin E D A D A Fsmin E Fsmin E D A B A <interlude_1> A B A B A D A A B A B A Fsmin E <verse_2> A D A A D A A D A A <chorus_2> D A D A Fsmin E D A D A Fsmin E D A D A Fsmin E Fsmin E D A B A <solo_1> A B A B A D A A B A B A Fsmin E A B A B A D A A B A B A Fsmin E A B A B A D A A D A D A D A Fsmin E D A D A D A Fsmin E <chorus_3> D A D A Fsmin E D A D A Fsmin E D A D A Fsmin E D A D A Fsmin E D A D A Fsmin E D A D A Fsmin E D A D A Fsmin E Fsmin E D A B A A,1999-02-15,pop_rock,219
96796,<intro_1> G A Bmin Emin Fsmin <verse_1> G A Bmin Emin Fsmin G A Bmin Emin Fsmin G A Bmin Emin Fsmin G A Bmin Emin Fsmin G <chorus_1> A Bmin Emin Fsmin G A Bmin Emin Fsmin G A Bmin Emin Fsmin G A Bmin Emin Fsmin G A Bmin Emin Fsmin G A Bmin Emin Fsmin G A Bmin Emin Fsmin G <verse_2> A Bmin Emin Fsmin G A Bmin Emin Fsmin G A Bmin Emin Fsmin G A Bmin Emin Fsmin G <chorus_2> A Bmin Emin Fsmin G A Bmin Emin Fsmin G A Bmin Emin Fsmin G A Bmin Emin Fsmin G A Bmin Emin Fsmin G A Bmin Emin Fsmin G A Bmin Emin Fsmin G <chorus_3> A Bmin Emin Fsmin G A Bmin Emin Fsmin G,2017-02-22,electronic,132
100267,<intro_1> E A Asus2 A Asus4 A Asus4 A Asus2 A Asus4 A Asus4 A Asus2 A Asus4 A Asus4 A Asus2 A Asus4 A Asus4 A <verse_1> Asus4 A Asus4 A Asus4 A Asus4 A A A A A A A A A A A A A <chorus_1> Emin D C A Emin D C A A A Emin D C A Emin D C A A A <verse_2> A A A A A A A A <chorus_2> Emin D C A A A Emin D C A A A Emin D C A A A Emin D C A A A <interlude_1> A A A A A A A A A A A A <verse_3> A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A <outro_1> Emin D C A A A Emin D C A A A Emin D C A A A Emin D C A A A A A A A A A A A A A A A A A A A Emin D C A A A Emin D C A A A Emin D C A A A Emin D C A A A,1990-04-01,jazz,214
